Chord	Type	Notes Above Root	Common Transitions
I	major	0,4,7	IV,V,vi,iii,II,III,IV,V,vi
ii	minor	2,5,9	V,vii*,iii,IV,II,III
iii	minor	4,7,11	vi,I,IV,V,III
IV	major	5,9,12	I,vii*,ii,V,IV
V	major	7,11,14	I,vi,IV,iii,II,vi
vi	minor	9,12,16	ii,IV,I,V,vi
vii*	diminished	11,14,17	I,iii,V,vi
VI	major	9,13,16	ii,IV,vii*,V,II
VII	major	11,14,18	I,iii,vi,ii
II	major	2,6,9	V,vii*
III	major	4,8,11	IV,vi
