Note	MIDI	Offset	Common Key Change Keys
C	60	0	G,F,A,A#
C#	61	1	A,F#,G#,B
D	62	2	A,G,B,C
D#	63	3	A#,G#,C,C#
E	64	4	B,A,C#,D
F	65	5	C,A#,D,D#
F#	66	6	C#,B,D#,E
G	67	7	D,C,E,F
G#	68	8	D#,C#,F,F#
A	69	-3	E,D,F#,G
A#	70	-2	F,D#,G,G#
B	71	-1	F#,E,G#,A
